qid,brand,entity,news_mom,news_yoy,status
Q6371145,Kariyushi shirt,Kariyushi shirt - Topic (garment),0%,0%,ok
Q16834657,The Edinburgh Woollen Mill,Edinburgh Woollen Mill - Clothing retail company,0%,0%,ok
Q4035334,Bossini,Bossini - Company,0%,0%,ok
Q48770898,Buck Mason,Buck Mason - Clothing retail company,>5000 (breakout),>5000 (breakout),ok
Q270013,7 for all Mankind,7 for All Mankind - Jeans company,0%,0%,ok
Q1523089,Laura Ashley plc,Laura Ashley Holdings - Fashion company,0%,0%,ok
Q881017,Bogner,BOGNER - Company,0%,0%,ok
Q5322052,E. Marinella,E. Marinella - Company,>5000 (breakout),>5000 (breakout),ok
Q4904902,Big 5 Sporting Goods,Big 5 Sporting Goods - Sporting goods company,>5000 (breakout),>5000 (breakout),ok
Q4766699,Ann Taylor,Ann Taylor - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q116783961,Palm Angels,Palm Angels - Topic (wordmark),0%,0%,ok
Q3866987,Mulberry,Mulberry Group plc - Fashion company,>5000 (breakout),>5000 (breakout),ok
Q4878313,Bebe Stores,Bebe Stores - Retail company,0%,0%,ok
Q877571,Blizzard Ski,Blizzard Sport - Company,0%,0%,ok
Q50428076,Rebecca Minkoff,Rebecca Minkoff - Clothing brand,0%,0%,ok
Q1049887,Castro Model Ltd.,,,,no-data
Q6204078,Jos. A. Bank Clothiers,Jos. A. Bank Clothiers - Retail company,0%,0%,ok
Q7937938,Vivobarefoot,Vivobarefoot - Company,-30%,>5000 (breakout),ok
Q3661184,Ermanno Scervino,Ermanno Scervino - Design company,0%,0%,ok
Q87193804,Scalpers,Scalpers - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q1130841,Proenza Schouler,Proenza Schouler - Fashion brand,>5000 (breakout),>5000 (breakout),ok
Q3472022,Sandro Paris,Sandro - Clothing brand,>5000 (breakout),>5000 (breakout),ok
Q6915425,Moscot,Moscot - Company,0%,0%,ok
Q5647849,Hang Ten,Hangten - Topic (wordmark),0%,0%,ok
Q4942546,Bonobos,Bonobos - Store chain,>5000 (breakout),>5000 (breakout),ok
Q2234831,Schiesser,Schiesser - Company,0%,0%,ok
Q3889076,Pal Zileri,Pal Zileri - Topic (wordmark),0%,0%,ok
Q22662572,Nivia Sports,Nivia Sports - Sports equipment chain,0%,0%,ok
Q6545496,Lifestyle Stores,Lifestyle - Store chain,>5000 (breakout),>5000 (breakout),ok
Q4781133,Apple Bottoms,Apple Bottoms - Topic (brand),0%,0%,ok
Q420765,Akris,Akris - Fashion design company,0%,0%,ok
Q5521860,Garage,Garage - Clothing retailer,>5000 (breakout),>5000 (breakout),ok
Q7282768,Rag & Bone,Rag & Bone - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q2436187,Nudie Jeans,Nudie Jeans - Clothing chain,0%,0%,ok
Q4936481,Boden,Boden - Clothing industry chain,>5000 (breakout),>5000 (breakout),ok
Q3645820,Bruno Magli,Bruno Magli - Design company,0%,0%,ok
Q62610375,Wellensteyn International GmbH & Co. KG,Wellensteyn - Topic (brand),>5000 (breakout),>5000 (breakout),ok
Q5437186,Fat Face,Fat Face - Company,0%,0%,ok
Q5512676,G2000,G2000 - Topic (wordmark),0%,0%,ok
Q3779868,Guru,,,,no-data
Q4349016,KappAhl,Kappahl - Company,>5000 (breakout),>5000 (breakout),ok
Q11341902,Mikimoto,K. Mikimoto & Co. - Company,0%,0%,ok
Q3473599,Sarenza,Sarenza - Company,>5000 (breakout),>5000 (breakout),ok
Q1473396,Valentino Fashion Group,Valentino Fashion Group - Fashion company,0%,0%,ok
Q93451035,Boggi Milano,Boggi - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q12331072,Paul & Shark,Paul & Shark - Clothing chain (company),0%,0%,ok
Q18386374,K-Plus,,,,no-data
Q47155680,Kari,Kari - Topic (wordmark),0%,0%,ok
Q7576421,Sperry Top-Sider,Sperry - Footwear company,0%,0%,ok
Q539507,Icebreaker,Icebreaker - Clothing chain (company),>5000 (breakout),>5000 (breakout),ok
Q11293025,OWNDAYS,"Owndays Co., Ltd. - Company",>5000 (breakout),>5000 (breakout),ok
Q1986392,Turnbull & Asser,Turnbull & Asser - Clothing chain (company),0%,0%,ok
Q2990868,Comptoir des Cotonniers,Comptoir des Cotonniers - Company,0%,0%,ok
Q4947278,Bosideng,Bosideng - Clothing chain (company),0%,0%,ok
Q5962345,Hysteric glamour,Hysteric Glamour - Design company,0%,0%,ok
Q131445771,Rapha,Rapha - Company,0%,0%,ok
Q5166857,Coogi,Coogi - Topic (wordmark),0%,0%,ok
Q48743138,Away,Away - Company (luggage),>5000 (breakout),>5000 (breakout),ok
Q16544736,Courreges,Courreges - Design company,0%,0%,ok
Q5119055,Cia. Hering,Cia. Hering - Company,>5000 (breakout),>5000 (breakout),ok
Q3357081,Dressmann,Dressmann - Clothing chain (company),0%,0%,ok
Q3323911,Morellato Group,Morellato - Jewelry company,0%,0%,ok
Q3965055,Sorelle Fontana,Sorelle Fontana - Fashion design,0%,0%,ok
Q7071089,Nygard International,Nygard International - Clothing chain (company),0%,0%,ok
Q19903561,Polygon Bikes,Polygon Bikes - Company,0%,0%,ok
Q3334188,NAF NAF,Naf Naf - Company,0%,0%,ok
Q3047175,Ed Hardy,Ed Hardy - Topic,>5000 (breakout),>5000 (breakout),ok
Q52391629,Stefano Ricci,Stefano Ricci - Company,0%,0%,ok
Q47545942,Quooker,Quooker - Topic,>5000 (breakout),>5000 (breakout),ok
Q2096177,Globe International,Globe Shoes - Company,0%,0%,ok
Q264141,Sergio Rossi,Sergio Rossi - Company,0%,0%,ok
Q5515554,Gabe's,Gabe's - Store chain (company),0%,0%,ok
Q4167754,Herve Leger,Herve Leger - Design company,0%,0%,ok
Q1617132,Hi-Tec Sports,Hi-Tec - Sportswear chain (company),0%,0%,ok
Q1137991,Thomas Pink,Thomas Pink - Company,0%,0%,ok
Q4383376,Atticus Clothing,Atticus - Company,0%,0%,ok
Q794565,Aeropostale,Aeropostale - Clothing company,0%,0%,ok
Q4983306,Buckle,Buckle - Store chain (company),>5000 (breakout),>5000 (breakout),ok
Q4793069,Armedangels,Armedangels - Company,0%,0%,ok
Q19841609,Lids,Lids - Retail (company),>5000 (breakout),>5000 (breakout),ok
Q1524904,Gina Tricot,Gina Tricot - Company,>5000 (breakout),>5000 (breakout),ok
Q1002252,Bugatti,,,,no-data
Q3047389,Eden Park,Eden Park - Company,+70%,>5000 (breakout),ok
Q104842926,Ganni,Ganni - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q22031750,Khaadi,Khaadi - Company,0%,0%,ok
Q21410966,Everlane,Everlane - Store chain (company),>5000 (breakout),>5000 (breakout),ok
Q2603072,Iceberg,,,,no-data
Q2338087,Stefanel,Stefanel - Company,0%,0%,ok
Q48814393,SSENSE,SSENSE - Design company,>5000 (breakout),>5000 (breakout),ok
Q3476844,Sebago,Sebago - Company,0%,0%,ok
Q7802889,Tillys,Tillys - Store chain (company),>5000 (breakout),>5000 (breakout),ok
Q6964738,Naot,Teva Naot Ltd. - Company,0%,0%,ok
Q3557747,Victorio & Lucchino,Victorio & Lucchino - Company,0%,0%,ok
Q4886917,Bench,Bench Clothing - Company,0%,0%,ok
Q2998907,Country Road Group,Country Road - Store chain (company),>5000 (breakout),>5000 (breakout),ok
Q7827120,Torrid,Torrid - Design company,0%,0%,ok
Q11332062,Familiar,,,,no-data
Q10553200,Lager 157,Lager 157 Ab - Company,>5000 (breakout),>5000 (breakout),ok
Q108739951,Tailored Brands,Tailored Brands - Store chain (company),>5000 (breakout),>5000 (breakout),ok
Q3407429,Promod,Promod - Store chain (company),0%,0%,ok
Q6172434,Jeanswest,Jeanswest - Store chain (company),0%,0%,ok
Q618940,Apollo-Optik,Apollo-Optik - Company,>5000 (breakout),>5000 (breakout),ok
Q25110413,BALR.,BALR. - Topic (wordmark),0%,0%,ok
Q7012977,New York & Company,New York & Company - Store chain (company),0%,0%,ok
Q4840879,Badgley Mischka,Badgley Mischka - Design company,0%,0%,ok
Q3558391,Vilebrequin,Vilebrequin - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q6315705,TechStyle Fashion Group,TechStyle Fashion Group - Online shopping company,0%,0%,ok
Q7899859,Urban Behavior,,,,no-data
Q5562449,Gilly Hicks,Gilly Hicks - Topic (wordmark),0%,0%,ok
Q5171196,Corneliani,Corneliani - Company,0%,0%,ok
Q11316059,TAKEO KIKUCHI,TAKEO KIKUCHI - Topic,0%,0%,ok
Q16938284,Metro Shoes,Metro Shoes - Topic (wordmark),0%,0%,ok
Q4850707,Baleno,Baleno - Clothing retailer,0%,0%,ok
Q5349364,Eileen Fisher,Eileen Fisher Inc - Outlet store company,0%,0%,ok
Q43080895,sacai,Sacai - Topic (wordmark),0%,0%,ok
Q6786255,Matches Fashion,Matchesfashion Limited - Online store company,0%,0%,ok
Q5086126,Charlotte Russe,Charlotte Russe - Clothing retail chain,0%,0%,ok
Q1136537,Costume National,Costume National - Company,0%,0%,ok
Q7499960,ShoeDazzle,ShoeDazzle - Company,0%,0%,ok
Q1810141,WESC,WeSC - Clothing company,0%,0%,ok
Q125191429,Ladies,no-data,no-data,no-data,no-data
Q22032349,Wood Wood,Wood Wood - Topic,0%,0%,ok
Q125705303,Fix,FIX - Topic,0%,0%,ok
Q64852777,Beer,BEER - Topic,0%,0%,ok
Q7456144,Sessions,Sessions - Topic,0%,0%,ok
Q3157513,Jacob,no-data,no-data,no-data,no-data
Q138486466,Shukr,SHUKR - Topic,0%,0%,ok
Q2872152,Australian,Australian - Topic,0%,0%,ok
Q12340378,VILA,VILA - Topic,0%,0%,ok
Q10443115,Carlings,Carlings AS - Company,0%,0%,ok
Q2121887,Polo Ralph Lauren,Ralph Lauren Corporation - Fashion company,+400%,>5000% (breakout),ok
Q115517249,Tu,no-data,no-data,no-data,no-data
Q7866331,USC,USC - Topic,0%,0%,ok
Q85761879,Frame,FRAME - Topic,>5000% (breakout),>5000% (breakout),ok
Q11072650,Swear,Swear - Topic,0%,0%,ok
Q4941440,Bonds,Bonds - Clothing chain,>5000% (breakout),>5000% (breakout),ok
Q1719431,Schmid,no-data,no-data,no-data,no-data
Q5175717,Cotton On,Cotton On - Company,>5000% (breakout),>5000% (breakout),ok
Q109906064,Sleeper,no-data,no-data,no-data,no-data
Q107481263,Bode,Bode - Topic,>5000% (breakout),>5000% (breakout),ok
Q20714032,Seraphine,Seraphine - Design chain,0%,0%,ok
Q20987378,Barefoot,no-data,no-data,no-data,no-data
Q7740985,The Hundreds,The Hundreds - Topic,>5000% (breakout),>5000% (breakout),ok
Q125206509,Patta,Patta - Topic,0%,0%,ok
Q6793571,Maurices,Maurices - Store chain,0%,0%,ok
Q7197417,Piping Hot,Piping Hot Australia - Topic,0%,0%,ok
Q132531889,Alé,no-data,no-data,no-data,no-data
Q72982331,Francesca's,Francesca's - Company,0%,0%,ok
Q3146711,IKKS,IKKS - Company,0%,0%,ok
Q11297188,Kapital,no-data,no-data,no-data,no-data
Q115804691,Volcano,Volcano - Topic,0%,0%,ok
Q5618229,Gump's,Gump's San Francisco - Department store,0%,0%,ok
Q119149859,Kapital,no-data,no-data,no-data,no-data
Q25351738,Joules,Joules - Clothing chain,0%,0%,ok
Q108582148,Good American,Good American - Company,0%,0%,ok
Q9171569,Big Star,Big Star - Company,0%,0%,ok
Q15263093,IRFE,IRFE - Design chain,0%,0%,ok
Q3497483,Emporio Armani,Emporio Armani - Fashion brand,0%,0%,ok
Q2422884,American Vintage,American Vintage - Company,0%,0%,ok
Q6192383,Jigsaw,Jigsaw - Topic,0%,0%,ok
Q136502973,Volt,VOLT - Topic,>5000% (breakout),>5000% (breakout),ok
Q5324709,EXR,EXR - Topic,0%,0%,ok
Q10461856,Crocker,no-data,no-data,no-data,no-data
Q28042940,Orchestra,Orchestra Prémaman - Company,>5000% (breakout),>5000% (breakout),ok
Q7432952,Schuh,Schuh - Store chain,>5000% (breakout),>5000% (breakout),ok
Q8041451,X-Large,XLARGE - Topic,0%,0%,ok
Q6166759,Jay Jays,Jay Jays - Company,0%,0%,ok
Q125230974,James Perse,James Perse - Topic,>5000% (breakout),>5000% (breakout),ok
Q2956351,Chantelle,Chantelle - Topic,0%,0%,ok
Q55748823,garment factory,no-data,no-data,no-data,no-data
Q5506939,Fuchsia,no-data,no-data,no-data,no-data
Q28401216,Sunski,Sunski - Clothing chain,0%,0%,ok
Q104890420,Just Over the Top,Just Over the Top - Company,0%,0%,ok
Q11993725,Oleana,Oleana - Topic,0%,0%,ok
Q6316068,Just Jeans,Just Jeans Pty. Ltd. - Company,0%,0%,ok
Q55205917,Best Company,Best Company - Topic,0%,0%,ok
Q11236730,Niko and...,Niko and... - Topic,0%,0%,ok
Q3401000,Nalini,Nalini - Topic,0%,0%,ok
Q115310947,Terminal X,Terminal X - Topic,>5000% (breakout),>5000% (breakout),ok
Q16648226,Women'secret,Women'secret - Topic,>5000% (breakout),>5000% (breakout),ok
Q130705749,Assem,no-data,no-data,no-data,no-data
Q2290173,Sirri,SIRRI - Topic,0%,0%,ok
Q107394070,Number (N)ine,Number (N)ine - Topic,0%,0%,ok
Q945463,Bonia,Bonia - Store chain,0%,0%,ok
Q3439593,Cubus,Cubus - Company,>5000% (breakout),>5000% (breakout),ok
Q3012602,Damart,Damart - Company,0%,0%,ok
Q7553581,Soffe,Soffe - Store chain,0%,0%,ok
Q3305660,Tailored Brands,Tailored Brands - Store chain,>5000% (breakout),>5000% (breakout),ok
Q125660181,Kaporal,Kaporal - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q7642242,Super Champion,Super Champion - Topic,0%,0%,ok
Q6187356,Jessica McClintock,"Jessica McClintock, Inc. - Company",0%,0%,ok
Q6908680,Moosejaw,Moosejaw - Online retail company,0%,0%,ok
Q28056374,Tezenis,Tezenis - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q2903774,Gottex,Gottex - Company,no-data,0%,ok
Q1072452,Chiemsee,Chiemsee - Topic,no-data,0%,ok
Q6414100,Kinney Shoes,Kinney Shoes - Retail company,no-data,0%,ok
Q307894,2(x)ist,2(x)ist - Fashion company,no-data,no-data,no-data
Q110225120,Max Mara Fashion Group,Max Mara - Fashion company,>5000 (breakout),no-data,ok
Q3299151,Matix,Matix - Company,no-data,no-data,ok
Q7111938,Outdoor Research,Outdoor Research - Jacket company,0%,no-data,ok
Q18636419,The Elder Statesman,The Elder Statesman - Brand,0%,0%,ok
Q13657207,Padini,Padini - Apparel company,>5000 (breakout),>5000 (breakout),ok
Q4950452,Boutique La Vie en rose,La Vie en Rose - Lingerie retail company,>5000 (breakout),no-data,ok
Q86327186,GHOST-Bikes,Ghost Bikes - Topic (wordmark),0%,0%,ok
Q55097814,Viyella,Viyella - Topic,no-data,no-data,no-data
Q111283880,Anine Bing,Anine Bing - Corporation,0%,0%,ok
Q131673087,Moose Knuckles,Moose Knuckles - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q109825187,Boot Barn,Boot Barn - Retail company,>5000 (breakout),>5000 (breakout),ok
Q96657862,Yeezy Gap,Yeezy Gap - Topic,0%,0%,ok
Q6209926,Joe Fresh,Joe Fresh - Topic,0%,0%,ok
Q86682767,Sézane,Sézane - Topic (wordmark),+2400%,>5000 (breakout),ok
Q7994858,White House Black Market,White House Black Market - Clothing retail company,0%,0%,ok
Q19903688,Target Optical,Target Optical - Retail company,>5000 (breakout),>5000 (breakout),ok
Q119056161,F. Engel,F. Engel K/S - Company,no-data,no-data,no-data
Q28857986,Lorna Jane,Lorna Jane - Retail-store company,no-data,no-data,no-data
Q5298588,Dorothy Perkins,Dorothy Perkins - Fashion company,0%,0%,ok
Q7500007,Shoe Carnival,Shoe Carnival - Retail company,>5000 (breakout),>5000 (breakout),ok
Q18390679,Robert Graham,Robert Graham - Fashion company,no-data,no-data,no-data
Q5392021,IC Group,IC Group - Company,0%,0%,ok
Q115799492,Falguni Shane Peacock,Falguni Shane Peacock - Fashion design,0%,0%,ok
Q140069588,Dorko,Dorko - Topic,0%,no-data,ok
Q7654224,Sweaty Betty,Sweaty Betty - Retail company,0%,0%,ok
Q94776153,PME Legend,PME Legend - Topic,no-data,no-data,no-data
Q5142575,Coldwater Creek,Coldwater Creek - Clothing company,0%,no-data,ok
Q16850757,J Brand,J Brand - Fashion company,0%,0%,ok
Q17109937,Rack Room Shoes,Rack Room Shoes - Footwear retail company,-30%,>5000 (breakout),ok
Q18636520,Dolls Kill,Dolls Kill - Online retail company,0%,0%,ok
Q5024439,Calvin Klein Collection,Calvin Klein Collection - Topic,0%,0%,ok
Q6268615,Johnston & Murphy,Johnston & Murphy - Footwear company,no-data,no-data,no-data
Q16985816,C. Wonder,C. Wonder - Retail company,0%,0%,ok
Q2860764,Ardène,Ardene - Fashion company,>5000 (breakout),>5000 (breakout),ok
Q125995969,The Attico,The Attico - Topic (wordmark),no-data,no-data,no-data
